Kenneth Sisam	New Zealand academic and publisher (1887–1971)	Kenneth Sisam	Q3195205
G.B. Smith	schoolfriend of J. Tolkien	Geoffrey Bache Smith	Q22109568
J. I. M. Stewart	British author, critic and academic (1906-1994)	J. I. M. Stewart	Q1629792
John Suffield	(1833-1930)	John Suffield	Q76335494
Donald Swann	British composer (1923-1994)	Donald Swann	Q710220
Adam Tolkien	British lighting designer and translator	Adam ⧼(grandson of⧽ J. R. R. T.) Tolkien	Q82012
Arthur Reuel Tolkien	father of J. R. R. Tolkien	Arthur ⧼(father of⧽ J. R. R. T.) Tolkien	Q76335458
Baillie Tolkien	second wife of Christopher Tolkien	Baillie Tolkien	Q76335507
Christopher Tolkien	literary scholar, writer, and editor (1924–2020)	Christopher Tolkien	Q82032
Edith Tolkien	J. R. R. Tolkien's wife and muse (1889–1971)	Edith Tolkien	Q82052
Faith Tully Lilly Faulconbridge	-	Faith Tolkien	Q76335504
Hilary Arthur Reuel Tolkien	brother of J. R. R. Tolkien	Hilary Tolkien	Q10295543
Joan Anne Tolkien	(born 1945)	Joan Anne Tolkien	Q76335518
John Benjamin Tolkien	(1807-1896)	John Benjamin Tolkien	Q110717127
John Tolkien	English priest	John Tolkien	Q26085584
J. R. R. Tolkien	English writer and philologist (1892–1973)	John Ronald Reuel Tolkien	Q892
Mabel Suffield	Mother of J. R. R. Tolkien	Mabel Tolkien	Q10322682
Michael Tolkien	son of J. R. R. Tolkien	Michael Tolkien	Q76335515
Priscilla Tolkien	British literary preservationist	Priscilla Tolkien	Q26086075
Rachel Clare Reuel Tolkien	(born 1971)	Rachel Tolkien	Q76335512
Simon Tolkien	British writer, grandson of J. R. R. Tolkien	Simon Tolkien	Q82075
Rayner Unwin	British publisher (1925–2000)	Rayner Unwin	Q95155
Stanley Unwin	British publisher (1884-1968): George Allen & Unwin; Allen and Unwin	Sir Stanley Unwin	Q95160
Richard Wagner	German composer (1813–1883)	Richard Wagner	Q1511
Milton Waldman	US editor, worked with Tolkien	Milton Waldman	Q30230492
Joseph Wells	British academic (1855-1929)	Joseph Wells	Q6287851
Charles Williams	British poet, novelist, theologian, literary critic, and member of the Inklings (1886–1945)	Charles Williams	Q124735
F. P. Wilson	British literary scholar (1889–1963)	F. P. Wilson	Q5423772
Christopher Wiseman	childhood friend of J.R.R. Tolkien	Christopher Wiseman	Q30069364
Charles Leslie Wrenn	English linguist and scholar of English literature and Anglo-Saxon	Charles Wrenn	Q2959648
Elizabeth Mary Wright	English linguist and folklorist	E. M. (Lizzie) Wright	Q59628119
Joseph Wright	British linguist (1855–1930)	Joseph Wright	Q329817
Edward Wyke-Smith	English writer (1871–1935)	E. A. Wyke-Smith	Q2274359
Henry Cecil Kennedy Wyld	English lexicographer and philologist (1870–1945)	H. C. Wyld	Q5719254
